,date,solomon islands flights-AU,solomon islands hotel-AU,solomon islands travel-AU,solomon islands flights-NZ,solomon islands hotel-NZ,solomon islands travel-NZ,solomon islands flights-US,solomon islands hotel-US,solomon islands travel-US,solomon islands flights-JP,solomon islands hotel-JP,solomon islands travel-JP,solomon islands flights-HK,solomon islands hotel-HK,solomon islands travel-HK,solomon islands flights-NC,solomon islands hotel-NC,solomon islands travel-NC,solomon islands flights,solomon islands hotel,solomon islands travel
84,2011-01-01,6,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.31777833649641307,0.2454110922592183,0.004137861958282054
85,2011-02-01,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.2548596066216908,0.1825009628242868,0.23848495982885606
86,2011-03-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10603137280252063,0.1447678109196289,0.003100193517615684
87,2011-04-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5019827945541024,0.0,0.0
88,2011-05-01,10,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.22853690939856672,0.21620724833545377,0.23528522732373802
89,2011-06-01,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36945514875004537,0.14453499550421858,0.10937667910720471
90,2011-07-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22302076825694864,0.060604719021490755,0.08092753415851511
91,2011-08-01,5,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.1432855329512321,0.09388641442892529,0.10530980406975703
92,2011-09-01,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0.10610929485252162,0.09665472490423323,0.001703761148914677
93,2011-10-01,3,0,2,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0.07295418475062634,0.3026651318680027,0.20124532515773505
94,2011-11-01,6,3,3,0,0,0,8,5,7,0,0,0,0,0,0,0,0,0,0.26233448351820543,0.1941109679540332,0.12643461384775465
95,2011-12-01,0,2,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0.19424311869465674,0.10747910718222098,0.22362334325012906
96,2012-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21045111018810306,0.24065380407888476,0.06975967617087755
97,2012-02-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06648493300659493,0.1604870233707935,0.05545281187179024
98,2012-03-01,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.16757646967205578,0.12816441251618474,0.05615227627380234
99,2012-04-01,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.21252017150109173,0.1637793548053337,0.12424288442193847
100,2012-05-01,4,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0.3520536866368422,0.1383989795682771,0.17580066087525503
101,2012-06-01,6,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.23279168778186426,0.05797964820607564,0.17304066993369388
102,2012-07-01,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17250367618894002,0.05459384726585684,0.06844452937171698
103,2012-08-01,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.17960849131094267,0.18935037716924252,0.13790118052659936
104,2012-09-01,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1940163980788348,0.17479732189979572,0.11690730312769854
105,2012-10-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0.1451740231524469,0.1374958185172057
106,2012-11-01,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3117115570215103,0.2470892292061029,0.22398551531630928
107,2012-12-01,6,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0.35270887121127986,0.11801882744351344,0.07924502988799126
108,2013-01-01,2,2,3,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,0.1896515373315665,0.26128839861269704,0.18352251044790172
109,2013-02-01,2,2,3,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0.2007095883121349,0.33567726979693885,0.3592716518800278
110,2013-03-01,4,0,1,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0.24372517459046605,0.11637365409241547,0.25999132104912165
111,2013-04-01,4,4,3,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0.24268019376150787,0.2679344354867039,0.23629259734542626
112,2013-05-01,5,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.2369963896893637,0.11749981110768763,0.1739067035176048
113,2013-06-01,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.16620321075122096,0.2152796035505448,0.2689064245205595
114,2013-07-01,5,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.16929799815908436,0.08977152416233362,0.19235349500197232
115,2013-08-01,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.18811527397347025,0.1952419939211351,0.19680599715616265
116,2013-09-01,5,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.307504463762048,0.0702488149633209,0.19716331143341698
117,2013-10-01,3,0,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0.1545095858451085,0.11178066375579905,0.1154384377943764
118,2013-11-01,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21588367764860167,0.0014165612864778976,0.16229638625879006
119,2013-12-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21820128880253511,0.10376396742943211,0.0853494969680954
120,2014-01-01,8,1,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0.21139045739129275,0.09088826144742945,0.12841486489677917
121,2014-02-01,8,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.16724355992660872,0.07507338290257878,0.08792041241206748
122,2014-03-01,4,0,2,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0.12265229927892579,0.12189581643496732,0.07066347318823896
123,2014-04-01,3,2,5,0,0,0,13,4,5,0,0,0,0,0,0,0,0,0,0.18627987636782828,0.2776275086992915,0.23543738501588493
124,2014-05-01,3,1,2,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0.19212507274240084,0.23150627743102892,0.12734623687385163
125,2014-06-01,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2225473996424581,0.0,0.19710531755996238
126,2014-07-01,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0.24471954980708058,0.17894461757346858,0.08244400494177201
127,2014-08-01,4,0,2,0,0,0,4,12,12,0,0,0,0,0,0,0,0,0,0.3521133450876457,0.10429800879915616,0.19738211595074417
128,2014-09-01,4,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.23336917481247116,0.04844919751155602,0.11727576618514042
129,2014-10-01,5,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0.17625097855379612,0.12093240045485468,0.10443330848199683
130,2014-11-01,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1424178006327395,0.08651482187153252,0.002032928444230502
131,2014-12-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27004834873505096,0.07761088684074773,0.10538517874642027
