,country,date,seats_arrivals_domestic,seats_arrivals_intl,seats_arrivals_total
532,Palau,2020-06-16,0.0,0.0,0.0
533,Palau,2020-06-17,0.0,0.0,0.0
534,Palau,2020-06-18,0.0,0.0,0.0
535,Palau,2020-06-19,0.0,0.0,0.0
536,Palau,2020-06-20,0.0,0.0,0.0
537,Palau,2020-06-21,0.0,0.0,0.0
538,Palau,2020-06-22,0.0,0.0,0.0
539,Palau,2020-06-23,0.0,0.0,0.0
540,Palau,2020-06-24,0.0,0.0,0.0
541,Palau,2020-06-25,0.0,0.0,0.0
542,Palau,2020-06-26,0.0,0.0,0.0
543,Palau,2020-06-27,0.0,0.0,0.0
544,Palau,2020-06-28,0.0,0.0,0.0
545,Palau,2020-06-29,0.0,0.0,0.0
546,Palau,2020-06-30,0.0,0.0,0.0
547,Palau,2020-07-01,0.0,0.0,0.0
548,Palau,2020-07-02,0.0,0.0,0.0
549,Palau,2020-07-03,0.0,0.0,0.0
550,Palau,2020-07-04,0.0,0.0,0.0
551,Palau,2020-07-05,0.0,0.0,0.0
