,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper
119,2018-12-01,2301,2297.2967596687895,2155.1624951934195,1146.6090067586038,2905.3286530622795
120,2019-01-01,1750,2005.2202033152137,2153.895200057443,852.6430463674975,2796.795126960265
121,2019-02-01,1891,1978.7246164716641,2153.416191146144,830.9384113442261,2785.484405278651
122,2019-03-01,2378,2229.7001044959284,2153.2792180634374,1072.9548678431238,2881.0609059241287
123,2019-04-01,2106,2301.7878029787207,2153.170119312128,1156.2365823105663,2905.6450526384133
124,2019-05-01,2434,2111.3502942929117,2153.083147685198,951.1049639329825,2837.8219747506914
125,2019-06-01,2523,2836.6887700104376,2153.013769087125,2108.5021120489505,3058.254716950266
126,2019-07-01,2537,2601.2508957144873,2152.9584016966246,1596.7168459025595,2996.8927943463405
127,2019-08-01,2484,2293.057499944755,2152.9142366793994,1146.3374099489643,2902.5661094285406
128,2019-09-01,2695,2490.048966493091,2152.879214213131,1412.4528228327983,2964.852876327956
129,2019-10-01,2761,2459.3883097899197,2152.8526146462186,1366.4907077842995,2955.6333276077175
130,2019-11-01,2295,2440.68107411938,2152.8381799065537,1339.360198284687,2949.923507191654
131,2019-12-01,3053,2416.4452215003316,2152.835708455675,1305.1591235640465,2942.4359037676727
132,2020-01-01,1857,2294.271624063053,2151.8212205555556,1150.1082277732357,2902.3182275312915
133,2020-02-01,1471,1408.1425322497244,2151.441478538995,461.2328102955797,2485.0954894421607
134,2020-03-01,752,752.0411294877938,2151.33318033318,196.40577948904115,1875.6028190811362
135,2020-04-01,2,3.977256131182614,2151.2468452323283,1.6281858628428982,15.07096081347529
136,2020-05-01,23,6.972404835445161,2151.1779721743414,2.261356736620204,29.120224777946643
137,2020-06-01,24,77.05592919617894,2151.123000393406,17.355558673895626,331.4828680146505
138,2020-07-01,52,37.559278616916465,2151.079110830546,8.783725176994738,167.0428690823029
139,2020-08-01,39,14.933909198828395,2151.044089284591,3.9499043210150937,65.96512451818388
140,2020-09-01,103,30.874285483829105,2151.01631173715,7.350780648679495,137.7065249574135
141,2020-10-01,60,49.92546307595699,2150.995221133909,11.452094663696617,220.0467907342185
142,2020-11-01,16,45.24542081201926,2150.983825288974,10.441290893162872,200.14187678737792
143,2020-12-01,41,50.14495362563474,2150.981713660885,11.499988676153682,220.96676559460616
