date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2019-06-01,2019-6,150,0.0,0.0,305.0,20.0,0.06557377049180328,455.0,0.32967032967032966,0.6703296703296703,0.0,2.482035294027117,1.2410176470135585,1.6637819003918037,102.72819889354989,88.79305380244533,102.72819889354989
2019-07-01,2019-7,158,0.0,0.0,347.0,20.0,0.05763688760806916,505.0,0.31287128712871287,0.6871287128712872,0.0,2.181616036536803,1.0908080182684015,1.4990510191648925,92.55709009220831,78.04576775142888,92.55709009220831
2019-08-01,2019-8,154,1.0,0.006493506493506494,373.0,21.0,0.05630026809651475,527.0,0.2922201138519924,0.7077798861480076,0.7640721389585615,2.131023600300762,1.4475478696296618,1.7315728886371966,106.91387137984334,103.56999852415267,106.91387137984334
2019-09-01,2019-9,136,0.0,0.0,322.0,24.0,0.07453416149068323,458.0,0.29694323144104806,0.7030567685589519,0.0,2.8211953963165364,1.4105976981582682,1.983460518807696,122.46636811327124,100.92626612327635,122.46636811327124
2019-10-01,2019-10,175,1.0,0.005714285714285714,365.0,16.0,0.043835616438356165,540.0,0.32407407407407407,0.6759259259259259,0.6723834822835341,1.6592235938153876,1.165803538049461,1.3394142984115462,82.70051406117805,83.41159090381248,82.70051406117805
2019-11-01,2019-11,159,1.0,0.006289308176100629,357.0,19.0,0.05322128851540616,516.0,0.3081395348837209,0.6918604651162791,0.7400447132051475,2.014481026454782,1.3772628698299647,1.6217768136511155,100.13464567349017,98.54120640041651,100.13464567349017
2019-12-01,2019-12,184,1.0,0.005434782608695652,295.0,19.0,0.06440677966101695,479.0,0.38413361169102295,0.615866388308977,0.6394951597805351,2.437863479472397,1.538679319626466,1.7470497616784457,107.86947216601445,110.0903246147072,107.86947216601445
2020-01-01,2020-1,169,1.0,0.005917159763313609,272.0,18.0,0.0661764705882353,441.0,0.3832199546485261,0.6167800453514739,0.6962550852048429,2.5048481184207483,1.6005516018127957,1.8117591782541087,111.86487674079969,114.51719871619274,111.86487674079969
2020-02-01,2020-2,177,4.0,0.022598870056497175,298.0,22.0,0.0738255033557047,475.0,0.3726315789473684,0.6273684210526316,2.659143715245615,2.7943719501546904,2.7267578327001525,2.7439816394622563,169.42382385127934,195.09565841213106,169.42382385127934
2020-03-01,2020-3,259,2.0,0.007722007722007722,385.0,24.0,0.06233766233766234,644.0,0.40217391304347827,0.5978260869565217,0.9086263274101811,2.3595452405556485,1.6340857839829148,1.7760235037471455,109.65842078795995,116.9165219238988,109.65842078795995
2020-04-01,2020-4,256,8.0,0.03125,358.0,24.0,0.0670391061452514,614.0,0.4169381107491857,0.5830618892508144,3.6770971687380767,2.537499769871298,3.1072984693046877,3.012641356369499,186.01189277223153,222.32280163717348,186.01189277223153
2020-05-01,2020-5,221,1.0,0.004524886877828055,334.0,22.0,0.0658682634730539,555.0,0.3981981981981982,0.6018018018018018,0.5324303592742917,2.493182159120053,1.5128062591971725,1.7124143253075967,105.73094908469497,108.23914380977617,105.73094908469497
